Date,S02,S03,S04,S05,S06,S07,S08,S10,Pr2,Pr3,Holiday,FullPrice,PercentageDiscount
11/2/2012,0,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/2/2012,0,0,0,0,0,0,0,1,0,0,FALSE,10.99,0
11/2/2012,0,0,0,0,0,0,1,0,0,0,FALSE,10.99,0
11/2/2012,0,0,0,0,0,1,0,0,0,0,FALSE,10.99,0
11/2/2012,0,0,0,0,1,0,0,0,0,0,FALSE,10.99,0
11/2/2012,0,0,0,1,0,0,0,0,0,0,FALSE,10.99,0
11/2/2012,0,0,1,0,0,0,0,0,0,0,FALSE,10.99,0
11/2/2012,0,1,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/2/2012,1,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/9/2012,0,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/9/2012,0,0,0,0,0,0,0,1,0,0,FALSE,10.99,0
11/9/2012,0,0,0,0,0,0,1,0,0,0,FALSE,10.99,0
11/9/2012,0,0,0,0,0,1,0,0,0,0,FALSE,10.99,0
11/9/2012,0,0,0,0,1,0,0,0,0,0,FALSE,10.99,0
11/9/2012,0,0,0,1,0,0,0,0,0,0,FALSE,10.99,0
11/9/2012,0,0,1,0,0,0,0,0,0,0,FALSE,10.99,0
11/9/2012,0,1,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/9/2012,1,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/16/2012,0,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/16/2012,0,0,0,0,0,0,0,1,0,0,FALSE,10.99,0
11/16/2012,0,0,0,0,0,0,1,0,0,0,FALSE,10.99,0
11/16/2012,0,0,0,0,0,1,0,0,0,0,FALSE,10.99,0
11/16/2012,0,0,0,0,1,0,0,0,0,0,FALSE,10.99,0
11/16/2012,0,0,0,1,0,0,0,0,0,0,FALSE,10.99,0
11/16/2012,0,0,1,0,0,0,0,0,0,0,FALSE,10.99,0
11/16/2012,0,1,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/16/2012,1,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/23/2012,0,0,0,0,0,0,0,0,0,0,FALSE,7.99,0
11/23/2012,0,0,0,0,0,0,0,1,0,0,FALSE,7.99,0
11/23/2012,0,0,0,0,0,0,1,0,0,0,FALSE,7.99,0
11/23/2012,0,0,0,0,0,1,0,0,0,0,FALSE,7.99,0
11/23/2012,0,0,0,0,1,0,0,0,0,0,FALSE,7.99,0
11/23/2012,0,0,0,1,0,0,0,0,0,0,FALSE,7.99,0
11/23/2012,0,0,1,0,0,0,0,0,0,0,FALSE,7.99,0
11/23/2012,0,1,0,0,0,0,0,0,0,0,FALSE,7.99,0
11/23/2012,1,0,0,0,0,0,0,0,0,0,FALSE,7.99,0
11/30/2012,0,0,0,0,0,0,0,0,0,0,TRUE,7.99,0
11/30/2012,0,0,0,0,0,0,0,1,0,0,TRUE,7.99,0
11/30/2012,0,0,0,0,0,0,1,0,0,0,TRUE,7.99,0
11/30/2012,0,0,0,0,0,1,0,0,0,0,TRUE,7.99,0
11/30/2012,0,0,0,0,1,0,0,0,0,0,TRUE,7.99,0
11/30/2012,0,0,0,1,0,0,0,0,0,0,TRUE,7.99,0
11/30/2012,0,0,1,0,0,0,0,0,0,0,TRUE,7.99,0
11/30/2012,0,1,0,0,0,0,0,0,0,0,TRUE,7.99,0
11/30/2012,1,0,0,0,0,0,0,0,0,0,TRUE,7.99,0
12/7/2012,0,0,0,0,0,0,0,0,0,0,FALSE,7.99,0
12/7/2012,0,0,0,0,0,0,0,1,0,0,FALSE,7.99,0
12/7/2012,0,0,0,0,0,0,1,0,0,0,FALSE,7.99,0
12/7/2012,0,0,0,0,0,1,0,0,0,0,FALSE,7.99,0
12/7/2012,0,0,0,0,1,0,0,0,0,0,FALSE,7.99,0
12/7/2012,0,0,0,1,0,0,0,0,0,0,FALSE,7.99,0
12/7/2012,0,0,1,0,0,0,0,0,0,0,FALSE,7.99,0
12/7/2012,0,1,0,0,0,0,0,0,0,0,FALSE,7.99,0
12/7/2012,1,0,0,0,0,0,0,0,0,0,FALSE,7.99,0
12/14/2012,0,0,0,0,0,0,0,0,0,0,FALSE,7.99,0
12/14/2012,0,0,0,0,0,0,0,1,0,0,FALSE,7.99,0
12/14/2012,0,0,0,0,0,0,1,0,0,0,FALSE,7.99,0
12/14/2012,0,0,0,0,0,1,0,0,0,0,FALSE,7.99,0
12/14/2012,0,0,0,0,1,0,0,0,0,0,FALSE,7.99,0
12/14/2012,0,0,0,1,0,0,0,0,0,0,FALSE,7.99,0
12/14/2012,0,0,1,0,0,0,0,0,0,0,FALSE,7.99,0
12/14/2012,0,1,0,0,0,0,0,0,0,0,FALSE,7.99,0
12/14/2012,1,0,0,0,0,0,0,0,0,0,FALSE,7.99,0
12/21/2012,0,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
12/21/2012,0,0,0,0,0,0,0,1,0,0,FALSE,10.99,0
12/21/2012,0,0,0,0,0,0,1,0,0,0,FALSE,10.99,0
12/21/2012,0,0,0,0,0,1,0,0,0,0,FALSE,10.99,0
12/21/2012,0,0,0,0,1,0,0,0,0,0,FALSE,10.99,0
12/21/2012,0,0,0,1,0,0,0,0,0,0,FALSE,10.99,0
12/21/2012,0,0,1,0,0,0,0,0,0,0,FALSE,10.99,0
12/21/2012,0,1,0,0,0,0,0,0,0,0,FALSE,10.99,0
12/21/2012,1,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
12/28/2012,0,0,0,0,0,0,0,0,0,0,TRUE,10.99,0
12/28/2012,0,0,0,0,0,0,0,1,0,0,TRUE,10.99,0
12/28/2012,0,0,0,0,0,0,1,0,0,0,TRUE,10.99,0
12/28/2012,0,0,0,0,0,1,0,0,0,0,TRUE,10.99,0
12/28/2012,0,0,0,0,1,0,0,0,0,0,TRUE,10.99,0
12/28/2012,0,0,0,1,0,0,0,0,0,0,TRUE,10.99,0
12/28/2012,0,0,1,0,0,0,0,0,0,0,TRUE,10.99,0
12/28/2012,0,1,0,0,0,0,0,0,0,0,TRUE,10.99,0
12/28/2012,1,0,0,0,0,0,0,0,0,0,TRUE,10.99,0
1/4/2013,0,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
1/4/2013,0,0,0,0,0,0,0,1,0,0,FALSE,10.99,0
1/4/2013,0,0,0,0,0,0,1,0,0,0,FALSE,10.99,0
1/4/2013,0,0,0,0,0,1,0,0,0,0,FALSE,10.99,0
1/4/2013,0,0,0,0,1,0,0,0,0,0,FALSE,10.99,0
1/4/2013,0,0,0,1,0,0,0,0,0,0,FALSE,10.99,0
1/4/2013,0,0,1,0,0,0,0,0,0,0,FALSE,10.99,0
1/4/2013,0,1,0,0,0,0,0,0,0,0,FALSE,10.99,0
1/4/2013,1,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
1/11/2013,0,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
1/11/2013,0,0,0,0,0,0,0,1,0,0,FALSE,10.99,0
1/11/2013,0,0,0,0,0,0,1,0,0,0,FALSE,10.99,0
1/11/2013,0,0,0,0,0,1,0,0,0,0,FALSE,10.99,0
1/11/2013,0,0,0,0,1,0,0,0,0,0,FALSE,10.99,0
1/11/2013,0,0,0,1,0,0,0,0,0,0,FALSE,10.99,0
1/11/2013,0,0,1,0,0,0,0,0,0,0,FALSE,10.99,0
1/11/2013,0,1,0,0,0,0,0,0,0,0,FALSE,10.99,0
1/11/2013,1,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
1/18/2013,0,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
1/18/2013,0,0,0,0,0,0,0,1,0,0,FALSE,10.99,0
1/18/2013,0,0,0,0,0,0,1,0,0,0,FALSE,10.99,0
1/18/2013,0,0,0,0,0,1,0,0,0,0,FALSE,10.99,0
1/18/2013,0,0,0,0,1,0,0,0,0,0,FALSE,10.99,0
1/18/2013,0,0,0,1,0,0,0,0,0,0,FALSE,10.99,0
1/18/2013,0,0,1,0,0,0,0,0,0,0,FALSE,10.99,0
1/18/2013,0,1,0,0,0,0,0,0,0,0,FALSE,10.99,0
1/18/2013,1,0,0,0,0,0,0,0,0,0,FALSE,10.99,0
11/2/2012,0,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/2/2012,0,0,0,0,0,0,0,1,0,1,FALSE,21.99,0
11/2/2012,0,0,0,0,0,0,1,0,0,1,FALSE,21.99,0
11/2/2012,0,0,0,0,0,1,0,0,0,1,FALSE,21.99,0
11/2/2012,0,0,0,0,1,0,0,0,0,1,FALSE,21.99,0
11/2/2012,0,0,0,1,0,0,0,0,0,1,FALSE,21.99,0
11/2/2012,0,0,1,0,0,0,0,0,0,1,FALSE,21.99,0
11/2/2012,0,1,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/2/2012,1,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/9/2012,0,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/9/2012,0,0,0,0,0,0,0,1,0,1,FALSE,21.99,0
11/9/2012,0,0,0,0,0,0,1,0,0,1,FALSE,21.99,0
11/9/2012,0,0,0,0,0,1,0,0,0,1,FALSE,21.99,0
11/9/2012,0,0,0,0,1,0,0,0,0,1,FALSE,21.99,0
11/9/2012,0,0,0,1,0,0,0,0,0,1,FALSE,21.99,0
11/9/2012,0,0,1,0,0,0,0,0,0,1,FALSE,21.99,0
11/9/2012,0,1,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/9/2012,1,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/16/2012,0,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/16/2012,0,0,0,0,0,0,0,1,0,1,FALSE,21.99,0
11/16/2012,0,0,0,0,0,0,1,0,0,1,FALSE,21.99,0
11/16/2012,0,0,0,0,0,1,0,0,0,1,FALSE,21.99,0
11/16/2012,0,0,0,0,1,0,0,0,0,1,FALSE,21.99,0
11/16/2012,0,0,0,1,0,0,0,0,0,1,FALSE,21.99,0
11/16/2012,0,0,1,0,0,0,0,0,0,1,FALSE,21.99,0
11/16/2012,0,1,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/16/2012,1,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/23/2012,0,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/23/2012,0,0,0,0,0,0,0,1,0,1,FALSE,21.99,0
11/23/2012,0,0,0,0,0,0,1,0,0,1,FALSE,21.99,0
11/23/2012,0,0,0,0,0,1,0,0,0,1,FALSE,21.99,0
11/23/2012,0,0,0,0,1,0,0,0,0,1,FALSE,21.99,0
11/23/2012,0,0,0,1,0,0,0,0,0,1,FALSE,21.99,0
11/23/2012,0,0,1,0,0,0,0,0,0,1,FALSE,21.99,0
11/23/2012,0,1,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/23/2012,1,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/30/2012,0,0,0,0,0,0,0,0,0,1,TRUE,21.99,0
11/30/2012,0,0,0,0,0,0,0,1,0,1,TRUE,21.99,0
11/30/2012,0,0,0,0,0,0,1,0,0,1,TRUE,21.99,0
11/30/2012,0,0,0,0,0,1,0,0,0,1,TRUE,21.99,0
11/30/2012,0,0,0,0,1,0,0,0,0,1,TRUE,21.99,0
11/30/2012,0,0,0,1,0,0,0,0,0,1,TRUE,21.99,0
11/30/2012,0,0,1,0,0,0,0,0,0,1,TRUE,21.99,0
11/30/2012,0,1,0,0,0,0,0,0,0,1,TRUE,21.99,0
11/30/2012,1,0,0,0,0,0,0,0,0,1,TRUE,21.99,0
12/7/2012,0,0,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/7/2012,0,0,0,0,0,0,0,1,0,1,FALSE,19.99,0
12/7/2012,0,0,0,0,0,0,1,0,0,1,FALSE,19.99,0
12/7/2012,0,0,0,0,0,1,0,0,0,1,FALSE,19.99,0
12/7/2012,0,0,0,0,1,0,0,0,0,1,FALSE,19.99,0
12/7/2012,0,0,0,1,0,0,0,0,0,1,FALSE,19.99,0
12/7/2012,0,0,1,0,0,0,0,0,0,1,FALSE,19.99,0
12/7/2012,0,1,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/7/2012,1,0,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/14/2012,0,0,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/14/2012,0,0,0,0,0,0,0,1,0,1,FALSE,19.99,0
12/14/2012,0,0,0,0,0,0,1,0,0,1,FALSE,19.99,0
12/14/2012,0,0,0,0,0,1,0,0,0,1,FALSE,19.99,0
12/14/2012,0,0,0,0,1,0,0,0,0,1,FALSE,19.99,0
12/14/2012,0,0,0,1,0,0,0,0,0,1,FALSE,19.99,0
12/14/2012,0,0,1,0,0,0,0,0,0,1,FALSE,19.99,0
12/14/2012,0,1,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/14/2012,1,0,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/21/2012,0,0,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/21/2012,0,0,0,0,0,0,0,1,0,1,FALSE,19.99,0
12/21/2012,0,0,0,0,0,0,1,0,0,1,FALSE,19.99,0
12/21/2012,0,0,0,0,0,1,0,0,0,1,FALSE,19.99,0
12/21/2012,0,0,0,0,1,0,0,0,0,1,FALSE,19.99,0
12/21/2012,0,0,0,1,0,0,0,0,0,1,FALSE,19.99,0
12/21/2012,0,0,1,0,0,0,0,0,0,1,FALSE,19.99,0
12/21/2012,0,1,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/21/2012,1,0,0,0,0,0,0,0,0,1,FALSE,19.99,0
12/28/2012,0,0,0,0,0,0,0,0,0,1,TRUE,19.99,0
12/28/2012,0,0,0,0,0,0,0,1,0,1,TRUE,19.99,0
12/28/2012,0,0,0,0,0,0,1,0,0,1,TRUE,19.99,0
12/28/2012,0,0,0,0,0,1,0,0,0,1,TRUE,19.99,0
12/28/2012,0,0,0,0,1,0,0,0,0,1,TRUE,19.99,0
12/28/2012,0,0,0,1,0,0,0,0,0,1,TRUE,19.99,0
12/28/2012,0,0,1,0,0,0,0,0,0,1,TRUE,19.99,0
12/28/2012,0,1,0,0,0,0,0,0,0,1,TRUE,19.99,0
12/28/2012,1,0,0,0,0,0,0,0,0,1,TRUE,19.99,0
1/4/2013,0,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
1/4/2013,0,0,0,0,0,0,0,1,0,1,FALSE,21.99,0
1/4/2013,0,0,0,0,0,0,1,0,0,1,FALSE,21.99,0
1/4/2013,0,0,0,0,0,1,0,0,0,1,FALSE,21.99,0
1/4/2013,0,0,0,0,1,0,0,0,0,1,FALSE,21.99,0
1/4/2013,0,0,0,1,0,0,0,0,0,1,FALSE,21.99,0
1/4/2013,0,0,1,0,0,0,0,0,0,1,FALSE,21.99,0
1/4/2013,0,1,0,0,0,0,0,0,0,1,FALSE,21.99,0
1/4/2013,1,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
1/11/2013,0,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
1/11/2013,0,0,0,0,0,0,0,1,0,1,FALSE,21.99,0
1/11/2013,0,0,0,0,0,0,1,0,0,1,FALSE,21.99,0
1/11/2013,0,0,0,0,0,1,0,0,0,1,FALSE,21.99,0
1/11/2013,0,0,0,0,1,0,0,0,0,1,FALSE,21.99,0
1/11/2013,0,0,0,1,0,0,0,0,0,1,FALSE,21.99,0
1/11/2013,0,0,1,0,0,0,0,0,0,1,FALSE,21.99,0
1/11/2013,0,1,0,0,0,0,0,0,0,1,FALSE,21.99,0
1/11/2013,1,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
1/18/2013,0,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
1/18/2013,0,0,0,0,0,0,0,1,0,1,FALSE,21.99,0
1/18/2013,0,0,0,0,0,0,1,0,0,1,FALSE,21.99,0
1/18/2013,0,0,0,0,0,1,0,0,0,1,FALSE,21.99,0
1/18/2013,0,0,0,0,1,0,0,0,0,1,FALSE,21.99,0
1/18/2013,0,0,0,1,0,0,0,0,0,1,FALSE,21.99,0
1/18/2013,0,0,1,0,0,0,0,0,0,1,FALSE,21.99,0
1/18/2013,0,1,0,0,0,0,0,0,0,1,FALSE,21.99,0
1/18/2013,1,0,0,0,0,0,0,0,0,1,FALSE,21.99,0
11/2/2012,0,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/2/2012,0,0,0,0,0,0,0,1,1,0,FALSE,6.99,0
11/2/2012,0,0,0,0,0,0,1,0,1,0,FALSE,6.99,0
11/2/2012,0,0,0,0,0,1,0,0,1,0,FALSE,6.99,0
11/2/2012,0,0,0,0,1,0,0,0,1,0,FALSE,6.99,0
11/2/2012,0,0,0,1,0,0,0,0,1,0,FALSE,6.99,0
11/2/2012,0,0,1,0,0,0,0,0,1,0,FALSE,6.99,0
11/2/2012,0,1,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/2/2012,1,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/9/2012,0,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/9/2012,0,0,0,0,0,0,0,1,1,0,FALSE,6.99,0
11/9/2012,0,0,0,0,0,0,1,0,1,0,FALSE,6.99,0
11/9/2012,0,0,0,0,0,1,0,0,1,0,FALSE,6.99,0
11/9/2012,0,0,0,0,1,0,0,0,1,0,FALSE,6.99,0
11/9/2012,0,0,0,1,0,0,0,0,1,0,FALSE,6.99,0
11/9/2012,0,0,1,0,0,0,0,0,1,0,FALSE,6.99,0
11/9/2012,0,1,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/9/2012,1,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/16/2012,0,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/16/2012,0,0,0,0,0,0,0,1,1,0,FALSE,6.99,0
11/16/2012,0,0,0,0,0,0,1,0,1,0,FALSE,6.99,0
11/16/2012,0,0,0,0,0,1,0,0,1,0,FALSE,6.99,0
11/16/2012,0,0,0,0,1,0,0,0,1,0,FALSE,6.99,0
11/16/2012,0,0,0,1,0,0,0,0,1,0,FALSE,6.99,0
11/16/2012,0,0,1,0,0,0,0,0,1,0,FALSE,6.99,0
11/16/2012,0,1,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/16/2012,1,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/23/2012,0,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/23/2012,0,0,0,0,0,0,0,1,1,0,FALSE,6.99,0
11/23/2012,0,0,0,0,0,0,1,0,1,0,FALSE,6.99,0
11/23/2012,0,0,0,0,0,1,0,0,1,0,FALSE,6.99,0
11/23/2012,0,0,0,0,1,0,0,0,1,0,FALSE,6.99,0
11/23/2012,0,0,0,1,0,0,0,0,1,0,FALSE,6.99,0
11/23/2012,0,0,1,0,0,0,0,0,1,0,FALSE,6.99,0
11/23/2012,0,1,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/23/2012,1,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
11/30/2012,0,0,0,0,0,0,0,0,1,0,TRUE,6.99,0
11/30/2012,0,0,0,0,0,0,0,1,1,0,TRUE,6.99,0
11/30/2012,0,0,0,0,0,0,1,0,1,0,TRUE,6.99,0
11/30/2012,0,0,0,0,0,1,0,0,1,0,TRUE,6.99,0
11/30/2012,0,0,0,0,1,0,0,0,1,0,TRUE,6.99,0
11/30/2012,0,0,0,1,0,0,0,0,1,0,TRUE,6.99,0
11/30/2012,0,0,1,0,0,0,0,0,1,0,TRUE,6.99,0
11/30/2012,0,1,0,0,0,0,0,0,1,0,TRUE,6.99,0
11/30/2012,1,0,0,0,0,0,0,0,1,0,TRUE,6.99,0
12/7/2012,0,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/7/2012,0,0,0,0,0,0,0,1,1,0,FALSE,6.99,0
12/7/2012,0,0,0,0,0,0,1,0,1,0,FALSE,6.99,0
12/7/2012,0,0,0,0,0,1,0,0,1,0,FALSE,6.99,0
12/7/2012,0,0,0,0,1,0,0,0,1,0,FALSE,6.99,0
12/7/2012,0,0,0,1,0,0,0,0,1,0,FALSE,6.99,0
12/7/2012,0,0,1,0,0,0,0,0,1,0,FALSE,6.99,0
12/7/2012,0,1,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/7/2012,1,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/14/2012,0,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/14/2012,0,0,0,0,0,0,0,1,1,0,FALSE,6.99,0
12/14/2012,0,0,0,0,0,0,1,0,1,0,FALSE,6.99,0
12/14/2012,0,0,0,0,0,1,0,0,1,0,FALSE,6.99,0
12/14/2012,0,0,0,0,1,0,0,0,1,0,FALSE,6.99,0
12/14/2012,0,0,0,1,0,0,0,0,1,0,FALSE,6.99,0
12/14/2012,0,0,1,0,0,0,0,0,1,0,FALSE,6.99,0
12/14/2012,0,1,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/14/2012,1,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/21/2012,0,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/21/2012,0,0,0,0,0,0,0,1,1,0,FALSE,6.99,0
12/21/2012,0,0,0,0,0,0,1,0,1,0,FALSE,6.99,0
12/21/2012,0,0,0,0,0,1,0,0,1,0,FALSE,6.99,0
12/21/2012,0,0,0,0,1,0,0,0,1,0,FALSE,6.99,0
12/21/2012,0,0,0,1,0,0,0,0,1,0,FALSE,6.99,0
12/21/2012,0,0,1,0,0,0,0,0,1,0,FALSE,6.99,0
12/21/2012,0,1,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/21/2012,1,0,0,0,0,0,0,0,1,0,FALSE,6.99,0
12/28/2012,0,0,0,0,0,0,0,0,1,0,TRUE,4.99,0
12/28/2012,0,0,0,0,0,0,0,1,1,0,TRUE,4.99,0
12/28/2012,0,0,0,0,0,0,1,0,1,0,TRUE,4.99,0
12/28/2012,0,0,0,0,0,1,0,0,1,0,TRUE,4.99,0
12/28/2012,0,0,0,0,1,0,0,0,1,0,TRUE,4.99,0
12/28/2012,0,0,0,1,0,0,0,0,1,0,TRUE,4.99,0
12/28/2012,0,0,1,0,0,0,0,0,1,0,TRUE,4.99,0
12/28/2012,0,1,0,0,0,0,0,0,1,0,TRUE,4.99,0
12/28/2012,1,0,0,0,0,0,0,0,1,0,TRUE,4.99,0
1/4/2013,0,0,0,0,0,0,0,0,1,0,FALSE,4.99,0
1/4/2013,0,0,0,0,0,0,0,1,1,0,FALSE,4.99,0
1/4/2013,0,0,0,0,0,0,1,0,1,0,FALSE,4.99,0
1/4/2013,0,0,0,0,0,1,0,0,1,0,FALSE,4.99,0
1/4/2013,0,0,0,0,1,0,0,0,1,0,FALSE,4.99,0
1/4/2013,0,0,0,1,0,0,0,0,1,0,FALSE,4.99,0
1/4/2013,0,0,1,0,0,0,0,0,1,0,FALSE,4.99,0
1/4/2013,0,1,0,0,0,0,0,0,1,0,FALSE,4.99,0
1/4/2013,1,0,0,0,0,0,0,0,1,0,FALSE,4.99,0
1/11/2013,0,0,0,0,0,0,0,0,1,0,FALSE,4.99,0
1/11/2013,0,0,0,0,0,0,0,1,1,0,FALSE,4.99,0
1/11/2013,0,0,0,0,0,0,1,0,1,0,FALSE,4.99,0
1/11/2013,0,0,0,0,0,1,0,0,1,0,FALSE,4.99,0
1/11/2013,0,0,0,0,1,0,0,0,1,0,FALSE,4.99,0
1/11/2013,0,0,0,1,0,0,0,0,1,0,FALSE,4.99,0
1/11/2013,0,0,1,0,0,0,0,0,1,0,FALSE,4.99,0
1/11/2013,0,1,0,0,0,0,0,0,1,0,FALSE,4.99,0
1/11/2013,1,0,0,0,0,0,0,0,1,0,FALSE,4.99,0
1/18/2013,0,0,0,0,0,0,0,0,1,0,FALSE,4.99,0
1/18/2013,0,0,0,0,0,0,0,1,1,0,FALSE,4.99,0
1/18/2013,0,0,0,0,0,0,1,0,1,0,FALSE,4.99,0
1/18/2013,0,0,0,0,0,1,0,0,1,0,FALSE,4.99,0
1/18/2013,0,0,0,0,1,0,0,0,1,0,FALSE,4.99,0
1/18/2013,0,0,0,1,0,0,0,0,1,0,FALSE,4.99,0
1/18/2013,0,0,1,0,0,0,0,0,1,0,FALSE,4.99,0
1/18/2013,0,1,0,0,0,0,0,0,1,0,FALSE,4.99,0
1/18/2013,1,0,0,0,0,0,0,0,1,0,FALSE,4.99,0
