country,year,population
Afghanistan,1952,8425333
Afghanistan,1957,9240934
Afghanistan,1962,10267083
Afghanistan,1967,11537966
Afghanistan,1972,13079460
Afghanistan,1977,14880372
Afghanistan,1982,12881816
Afghanistan,1987,13867957
Afghanistan,1992,16317921
Afghanistan,1997,22227415
Afghanistan,2002,25268405
Afghanistan,2007,31889923
Zimbabwe,1952,3080907
Zimbabwe,1957,3646340
Zimbabwe,1962,4277736
Zimbabwe,1967,4995432
Zimbabwe,1972,5861135
Zimbabwe,1977,6642107
Zimbabwe,1982,7636524
Zimbabwe,1987,9216418
Zimbabwe,1992,10704340
Zimbabwe,1997,11404948
Zimbabwe,2002,11926563
Zimbabwe,2007,12311143